1,ACKLAND R. C.,Ackland,R. C.
2,COOPER C. S.,Cooper,C. S.
3,GRANT H. E.,Grant,H. E.
4,Mc.KERN S. H. G.,Mc.Kern,S. H. G.
5,ROBINSON K. D.,Robinson,K. D.
6,AGUTTER A. E.,Agutter,A. E.
7,COOPER K. J.,Cooper,K. J.
8,GREEN J.,Green,J.
9,Mc.LEOD D. B.,Mc.Leod,D. B.
10,ROGAN J.,Rogan,J.
11,ALFORD G. B.,Alford,G. B.
12,CORBITT E. H.,Corbitt,E. H.
13,GRIFFITHS P. O.,Griffiths,P. O.
14,Mc.SHANE T. G.,Mc.Shane,T. G.
15,ROWLANDS H. F.,Rowlands,H. F.
16,ALLDRITT R.,Alldritt,R.
17,COUTTS J. W.,Coutts,J. W.
18,HAIG-PHILP R. M.,Haig-Philp,R. M.
19,MADDOCKS C. F.,Maddocks,C. F.
20,RYAN D. J.,Ryan,D. J.
21,ALLEN C. F.,Allen,C. F.
22,CROSS J. S.,Cross,J. S.
23,HANSON G. B.,Hanson,G. B.
24,MAKEIG W. C.,Makeig,W. C.
25,SACLIER F. D.,Saclier,F. D.
26,ALLEN R. S.,Allen,R. S.
27,CROSSMAN W. J. B.,Crossman,W. J. B.
28,HART W. B.,Hart,W. B.
29,MALE W.,Male,W.
30,SAUNDERS F. E. R.,Saunders,F. E. R.
31,ANDERSON D. S.,Anderson,D. S.
32,CUNNINGHAM J.,Cunningham,J.
33,HEALEY R. A. C.,Healey,R. A. C.
34,MASSEY T. A.,Massey,T. A.
35,SCOTT K. L.,Scott,K. L.
36,ANGLES J. N.,Angles,J. N.
37,DARCAN W. R.,Darcan,W. R.
38,HENLEY A. W.,Henley,A. W.
39,MENDELSOHN B. L.,Mendelsohn,B. L.
40,SCOTT L. B.,Scott,L. B.
41,ARNOLD B. S.,Arnold,B. S.
42,DAVIS R.,Davis,R.
43,HILLMAN E. M.,Hillman,E. M.
44,MERRETT C. H. E.,Merrett,C. H. E.
45,SEMPLE F. H.,Semple,F. H.
46,ASHDOWN C. P.,Ashdown,C. P.
47,DEDDEN N.,Dedden,N.
48,HILLYAR A. U.,Hillyar,A. U.
49,MILLER G. C. S.,Miller,G. C. S.
50,SENIOR S. G.,Senior,S. G.
51,ASHDOWN E. A.,Ashdown,E. A.
52,DICKSON F. K.,Dickson,F. K.
53,HILLYAR H. U.,Hillyar,H. U.
54,MITCHELL A.,Mitchell,A.
55,SHEARD S. W.,Sheard,S. W.
56,BARTON H. F.,Barton,H. F.
57,DICKINSON R. (NSE),Dickinson,R. (NSE)
58,HOGUE O.,Hogue,O.
59,MOORE C. J.,Moore,C. J.
60,SMITH J. R.,Smith,J. R.
61,BASS C. E.,Bass,C. E.
62,DOHERTY F. J.,Doherty,F. J.
63,HOLLINGWORTH R. E.,Hollingworth,R. E.
64,MOORE L. P.,Moore,L. P.
65,SMITH R. G.,Smith,R. G.
66,BEGG C. E.,Begg,C. E.
67,DONALDSON J. K.,Donaldson,J. K.
68,HOLMES E. C.,Holmes,E. C.
69,MOORS E. H.,Moors,E. H.
70,SPRING H. K.,Spring,H. K.
71,BENNETT E. A.,Bennett,E. A.
72,DORNBUSH E. C.,Dornbush,E. C.
73,HOLROYD L. P.,Holroyd,L. P.
74,MORRISON D.,Morrison,D.
