201,ADAMS V. R.,Adams,V. R.
202,BLACKMORE W. C.,Blackmore,W. C.
203,CANNON W. J.,Cannon,W. J.
204,CORKER A. V.,Corker,A. V.
205,DODDS F.,Dodds,F.
206,AIKEN E.,Aiken,E.
207,BLACKSTONE J. F.,Blackstone,J. F.
208,CANSDELL C. N.,Cansdell,C. N.
209,CORMACK O. R.,Cormack,O. R.
210,DOOREY M.,Doorey,M.
211,AIRD I. Mc.D.,Aird,I. Mc.D.
212,BLOWER W. E.,Blower,W. E.
213,CARMODY J.,Carmody,J.
214,CORNISH C. S.,Cornish,C. S.
215,DORAN A.,Doran,A.
216,AKERS F. W.,Akers,F. W.
217,BOLTON A. F.,Bolton,A. F.
218,CARNEY H. J.,Carney,H. J.
219,COSGROVE H. M.,Cosgrove,H. M.
220,DORAN B.,Doran,B.
221,ALCOCK H. F.,Alcock,H. F.
222,BONO D. J.,Bono,D. J.
223,CARR C.,Carr,C.
224,COTTAM F.,Cottam,F.
225,DORAN J. H.,Doran,J. H.
226,ALDERSON F. J.,Alderson,F. J.
227,BOONE L. J.,Boone,L. J.
228,CARROLL A. I.,Carroll,A. I.
229,COUSINS E. G.,Cousins,E. G.
230,DOULL D. F.,Doull,D. F.
231,ALDERSON J. D.,Alderson,J. D.
232,BOOT L. V.,Boot,L. V.
233,CARROLL S. H.,Carroll,S. H.
234,COWANO F. M.,Cowano,F. M.
235,DOYLE H. E. A.,Doyle,H. E. A.
236,ALLDRITT  N. D.,Alldritt,N. D.
237,BOURNE F. E.,Bourne,F. E.
238,CARROLL W. B.,Carroll,W. B.
239,CRABBE A. R.,Crabbe,A. R.
240,DOYLE J. V.,Doyle,J. V.
241,ALLDRITT R. G.,Alldritt,R. G.
242,BOURNE H. A.,Bourne,H. A.
243,CARRUTHERS B. M.,Carruthers,B. M.
244,CRANE A. S.,Crane,A. S.
245,DUCK N.,Duck,N.
246,ALLEN J. H.,Allen,J. H.
247,BOWERS W. H.,Bowers,W. H.
248,CARTER T. G.,Carter,T. G.
249,CRANE P. R.,Crane,P. R.
250,DUNLOP C. V.,Dunlop,C. V.
251,ALLEN J. W.,Allen,J. W.
252,BOWMAN J.,Bowman,J.
253,CARVER B. W. B.,Carver,B. W. B.
254,CRANE W. J.,Crane,W. J.
255,DUNN W. F.,Dunn,W. F.
256,ALLEN W. H.,Allen,W. H.
257,BOYDEN F. A. S.,Boyden,F. A. S.
258,CARVER D. B.,Carver,D. B.
259,CRAWCOUR R.,Crawcour,R.
260,DUNSTAN F. G.,Dunstan,F. G.
261,ALLERTON J. P.,Allerton,J. P.
262,BOYDEN N. L.,Boyden,N. L.
263,CARVER S. D.,Carver,S. D.
264,CREW E. J.,Crew,E. J.
265,DUVAL F. W.,Duval,F. W.
