Rank,Last Name,display,Initials,Conflict,Status,Service,Unit,Campaign,Gender,Decorations,Serv.No,Notes,Memorial,Memorial id,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,BOONE,C A Boone,C.A.,,Killed in action,,,,,,,,8,6,,,,,,,,
,DOWDING,A Dowding,A.,,Killed in action,,,,,,,,8,6,,,,,,,,
,GILCHRIST,A G Gilchrist,A.G.,,Killed in action,,,,,,,,8,6,,,,,,,,
,MILLER,G C S Miller,G.C.S.,,Killed in action,,,,,,,,8,6,,,,,,,,
,MOORS,E H Moors,E.H.,,Killed in action,,,,,,,,8,6,,,,,,,,
,PAIN,R Pain,R.,,Killed in action,,,,,,,,8,6,,,,,,,,
,PINNOCK,W A Pinnock,W.A.,,Killed in action,,,,,,,,8,6,,,,,,,,
,PROCTOR,J J C Proctor,J.J.C.,,Killed in action,,,,,,,,8,6,,,,,,,,
,RITCHIE,E C H Ritchie,E.C.H.,,Killed in action,,,,,,,,8,6,,,,,,,,
,STEWART,L F Stewart,L.F.,,Killed in action,,,,,,,,8,6,,,,,,,,
,STEWART,W K Stewart,W.K.,,Killed in action,,,,,,,,8,6,,,,,,,,
,WILLIAMS,S Williams,S.,,Killed in action,,,,,,,,8,6,,,,,,,,
,WOODFORDE,P L S Woodforde,P.L.S.,,Killed in action,,,,,,,,8,6,,,,,,,,
,BRISSENDEN,E M (Vice Pres ) Brissenden,E.M. (Vice Pres.),,,,,,,,,,8,6,,,,,,,,
,ALLAN,S P Allan,S.P.,,,,,,,,,,8,6,,,,,,,,
,ANDERSON,N Anderson,N.,,,,,,,,,,8,6,,,,,,,,
,BOONE,L J Boone,L.J.,,,,,,,,,,8,6,,,,,,,,
,BROWNING,N Browning,N.,,,,,,,,,,8,6,,,,,,,,
,CAMPBELL,H Campbell,H.,,,,,,,,,,8,6,,,,,,,,
,CHIDZEY,J Chidzey,J.,,,,,,,,,,8,6,,,,,,,,
,CLARE,G Clare,G.,,,,,,,,,,8,6,,,,,,,,
,COLLETT,J Collett,J.,,,,,,,,,,8,6,,,,,,,,
,COOK,J D Cook,J.D.,,,,,,,,,,8,6,,,,,,,,
,CURTIS,C K Curtis,C.K.,,,,,,,,,,8,6,,,,,,,,
,DARGAN,R R Dargan,R.R.,,,,,,,,,,8,6,,,,,,,,
,DAVIS,F Davis,F.,,,,,,,,,,8,6,,,,,,,,
,DIBBS,E Dibbs,E.,,,,,,,,,,8,6,,,,,,,,
,DIBBS,V Dibbs,V.,,,,,,,,,,8,6,,,,,,,,
,FARQUHAR,J R Farquhar,J.R.,,,,,,,,,,8,6,,,,,,,,
,FERGUSON,J W Ferguson,J.W.,,,,,,,,,,8,6,,,,,,,,
,FLEMING,R Fleming,R.,,,,,,,,,,8,6,,,,,,,,
,GIBBS,J Gibbs,J.,,,,,,,,,,8,6,,,,,,,,
,GILCHRIST,A A Gilchrist,A.A.,,,,,,,,,,8,6,,,,,,,,
,GILLHAM,H K Gillham,H.K.,,,,,,,,,,8,6,,,,,,,,
,MITCHELLE,E M (President) Mitchelle,E.M. (President),,,,,,,,,,8,6,,,,,,,,
,DOAK,F W (Vice Pres ) Doak,F.W. (Vice Pres.),,,,,,,,,,8,6,,,,,,,,
,RYRIE,G (Vice Pres ) Ryrie,G. (Vice Pres.),,,,,,,,,,8,6,,,,,,,,
,GRANT,A Grant,A.,,,,,,,,,,8,6,,,,,,,,
,GREENWALD,S Greenwald,S.,,,,,,,,,,8,6,,,,,,,,
,HALL,R Hall,R.,,,,,,,,,,8,6,,,,,,,,
,HAM,W J Ham,W.J.,,,,,,,,,,8,6,,,,,,,,
,HAMILTON,A N Hamilton,A.N.,,,,,,,,,,8,6,,,,,,,,
,HAYNE,S Hayne,S.,,,,,,,,,,8,6,,,,,,,,
,HEAPHY,G Heaphy,G.,,,,,,,,,,8,6,,,,,,,,
,HILL,C G Hill,C.G.,,,,,,,,,,8,6,,,,,,,,
,HIRST,G Hirst,G.,,,,,,,,,,8,6,,,,,,,,
,KAIN,W M Kain,W.M.,,,,,,,,,,8,6,,,,,,,,
,KIDSTON,T A Kidston,T.A.,,,,,,,,,,8,6,,,,,,,,
,KITCHEN,T J Kitchen,T.J.,,,,,,,,,,8,6,,,,,,,,
,LAMB,E Lamb,E.,,,,,,,,,,8,6,,,,,,,,
,LUTTRELL,D F Luttrell,D.F.,,,,,,,,,,8,6,,,,,,,,
,McKENZIE,G S Mckenzie,G.S.,,,,,,,,,,8,6,,,,,,,,
,McLEAN,J R Mclean,J.R.,,,,,,,,,,8,6,,,,,,,,
,MARLOW,R Marlow,R.,,,,,,,,,,8,6,,,,,,,,
,MULLVEY,R Mullvey,R.,,,,,,,,,,8,6,,,,,,,,
,NEWLANDS,A Newlands,A.,,,,,,,,,,8,6,,,,,,,,
,NIVEN,C L Niven,C.L.,,,,,,,,,,8,6,,,,,,,,
,PHIPPS,J H (Vice Pres ) Phipps,J.H. (Vice Pres.),,,,,,,DSO,,,8,6,,,,,,,,
,NORMAN,T B Norman,T.B.,,,,,,,MC,,,8,6,,,,,,,,
,PAIN,C Pain,C.,,,,,,,,,,8,6,,,,,,,,
,PARLE,H W Parle,H.W.,,,,,,,MC,,,8,6,,,,,,,,
,ROBERTSON,A C Robertson,A.C.,,,,,,,,,,8,6,,,,,,,,
,RYAN,D V Ryan,D.V.,,,,,,,,,,8,6,,,,,,,,
,SCOTT,F W Scott,F.W.,,,,,,,,,,8,6,,,,,,,,
,SMITH,T A Smith,T.A.,,,,,,,,,,8,6,,,,,,,,
,STEWART,E Stewart,E.,,,,,,,,,,8,6,,,,,,,,
,SUTTIE,G C Suttie,G.C.,,,,,,,,,,8,6,,,,,,,,
,SWALES,W Swales,W.,,,,,,,,,,8,6,,,,,,,,
,TAYLOR,F Taylor,F.,,,,,,,,,,8,6,,,,,,,,
,TERRY,F Terry,F.,,,,,,,,,,8,6,,,,,,,,
,THOMPSON,F H Thompson,F.H.,,,,,,,,,,8,6,,,,,,,,
,TURNER,S A G Turner,S.A.G.,,,,,,,,,,8,6,,,,,,,,
,VINDIN,G Vindin,G.,,,,,,,,,,8,6,,,,,,,,
,WEINGOTT,A Weingott,A.,,,,,,,,,,8,6,,,,,,,,
,WEITZEL,F Weitzel,F.,,,,,,,,,,8,6,,,,,,,,
,WOODFORDE,A Woodforde,A.,,,,,,,,,,8,6,,,,,,,,
,WOODFORDE,M Woodforde,M.,,,,,,,,,,8,6,,,,,,,,
,YULE,E Yule,E.,,,,,,,,,,8,6,,,,,,,,
,ALLPORT,R B Allport,R.B.,,,,,,,,,,4,2,,,,,,,,
,ALLPORT,J A Allport,J.A.,,,,,,,,,,4,2,,,,,,,,
,ALLWORTH,L E Allworth,L.E.,,,,,,,,,,4,2,,,,,,,,
,ALLWORTH,M Allworth,M.,,,,,,,,,,4,2,,,,,,,,
